0	sns	sc	fav	lang	host	domain	sname	text	width	tcolor	bcolor	scolor	bicon	sicon	iicon	entry	exity	webp	avif
1	0							Mastodon (jp)	15	#fff	#26a	#26a						data:image/webp;base64,UklGRuoAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJAAAAABgGJb27Lqpbkk6O42BZsHJLqTiFQWyd11AppYNKt23d39ft/bvjFExARwjLHp/pmQ5904quXY5z+EIiJS8jMxF76Q8TV1QVj+zv+R+R+Z6S+lLP/3n0y/mwvC8t1a/DI8ty3ZLzzJpYazYSXulYPjFm88EoVRKQUA4Aae8HiQSDb8MgAArru2e/9+Wvv4AABWUDggNAAAAPABAJ0BKg4ADgALAMAlsAJ0AR/UNERgAADJLW7+u2S+siutUjKCfhwKtJtJGYwmq86AAAA=	
2	0							Mastodon	15	#fff	#46a	#46a						data:image/webp;base64,UklGRvQAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJ0AAAABgFpt2/Lm/VUSyYqZYYVEZQdGmZKu4nYBUswSPeMEVVzHzM9T+jtDREyA4mnMb16RZyPDRZsSWHj//CSJD+x3udrf+M+9xtIHSZAg+bl0CRIESBKXJEE1AGogXh//+A3iYveTquDd+Py7Gm+HYvV3nk9NbOytTPRXrBLa5kHNHkk69SIi2uze62FXKjPQYRERRZNefbo5Pz9s04kIAFZQOCAwAAAA8AEAnQEqDgAOAApAuCWwAnQBFNxxkVAAAM3HRN2+Vv9wgwO/EtCsqVs19hh0G+AA	
3	0							Pleroma	15	#da5	#333	#333						data:image/webp;base64,UklGRsAAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSBcAAAABDzD/ERGCTNqmTurfZL8xCxH9j7zkAgBWUDggggAAAHACAJ0BKg4ADgADgF4liAJ0EaAMKZcYzlKHBoAA/oogbK5H/IHA/mc09DWz0/8CzvQYBnrn2dN12ArvSVmcXGnSARvX959vTGl6xK69CWBYnaPIxFks/pOnkiCFaGD7JuaP9yN8350qqrOcLu7iiPr8esm95Db+t+iu0LOPYbymgAA=	
4	0							Misskey	15	#9c0	#332	#333						data:image/webp;base64,UklGRuYAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJgAAAABgFvb1rLo4ZC6O6RelMWSEUNGpKG7SwEsCnCnABh3lzs+LUTEBNA/WVblN6ZVQVKb2LMqm4nIvUq7Itv4A9DTkfcBL80R3gC8F0JHAKLRfR0AHh8AIBg8xL793Bri/A/vgwW+377g7A3vg/kPjUTffwMMF8AjEOBLhMd47Y3x5tsULUS8wDbnCu9SLJuSiEhgU5LUJqF/AlZQOCAoAAAAcAEAnQEqDgAOAAgAoiWwAnQBdQAA/sqzKfXEFFij4uzoIu1F4FwAAA==	
5	0							PeerTube	15	#000	#fff	#fff						data:image/webp;base64,UklGRoIAAABXRUJQVlA4IHYAAAAwAwCdASoOAA4AAwBWJQBOj+EEAljMcmCLOrPXz2e546AAAP0DtjV6v3qdTir5EOWfU19ZsI59vBdo9wqjkE95tneGxloa0Tw9K/fOFIMyoozqAYzd2SHS9CF1GWlEuWy9UewjVLRX/hbwBK8lNYNUwxhbCKAA	
6	0							GNU Social	15	#fff	#a22	#a23	transparent					data:image/webp;base64,UklGRmQAAABXRUJQVlA4IFgAAAAQAgCdASoOAA4ACYCyJbACdADHdHbv8s4wAPatZrdwpUANkspeNRIfyAAgzuML6zhkRNsWS3JhgqZ+SFS0anq2NjZ1UV5F/tiP/QCKhR1MNgUN2Vd+MO4A	
7	0							Write Freely	15	#000	#5ce	#fff						data:image/webp;base64,UklGRo4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSCQAAAABDzD/ERFCUSNJSgvZvRPBv/Vv4pQwiIjof0CTZW/6a/2rAQBWUDggRAAAANABAJ0BKg4ADgALAMAlnAACoWYzB/gAAP3b5tG4or76tGp1UjJwAiwkQ9nK3XUTj7KqP7K7jTmk1C0CDE+k3z8r6eAA	
8	0							Pixelfed	15	#fff	#f55	#f55						data:image/webp;base64,UklGRqYAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSDgAAAABJ0CYbbTf9Id6BqcREcFtUBDZNvXmNdghwLcADeifTIKI/mcczGgVNx9YBWwfC9gPrFZxMw5mAFZQOCBIAAAAsAEAnQEqDgAOAAVAeiWwAnQA1kVbQAD6kFe9MG1DAtZCnwML+Hc6Uc6XWXwpEcqKK6pyQmuQ2a23N/ykBzF+vb97D0EYkKQA	
9	0							Microblog.pub	15	#fff	#171	#171						data:image/webp;base64,UklGRngAAABXRUJQVlA4IGwAAAAQAgCdASoOAA4AA4BYJZwAD4qQj8VH4tfAAP74uFmIoFXtqMkjMAR0vyaojZ3ku2U/7K6Ew7p/+vFV1ux4YLplfqy864uxojx16SYFmhXZC/HbWUeSRwzTgwv9i988TA3F39KqsbvzZqAAAAA=	
10	0							GoToSocial	15	#d85	#445	#000						data:image/webp;base64,UklGRt4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSIcAAAABgGLb2rLswZ2m1d1lCCwyWRORzqJ5gsoMHEbg3bu7w+8u+DuGiJgAAMDgaQY83DdnkuO4S3yL4vs9Ho/HUVTDBKAnvo+3tyUpeP+O97sCXvuIuDBaX1B+PfZvlKM/9o9UfDwiv9bRaoHR9uvW77gTZPF1tsL05XVZdItYDAAAstxi1dABAAAAVlA4IDAAAADQAQCdASoOAA4ACwDAJbACdACj8a9K2ADWhGa49zQepci6NaobmOT93HUsWGn+AAA=	
